Слово/фраза,Транскрипция,Перевод,Категория,Частотность,Широкая категория
trinken,[ˈtʁɪŋkən],пить,Глаголы действия,850,Основные глаголы
Bild,[bɪlt],картина,Гостиная,850,Дом и быт
Wochenende,[ˈvɔ.xənˌʔɛndə],выходные,Дни недели,850,Приветствия и знакомства
Küche,[ˈkʏ.çə],кухня,Дом,850,Дом и быт
Fisch,[fɪʃ],рыба,Еда и напитки,850,Рестораны и кафе
Schwein,[ʃvaɪn],свинья,Животные (Домашние/Ферма),850,Хобби и повседневная жизнь
Vogel,[ˈfoːɡl̩],птица,Животные (Домашние/Ферма),850,Хобби и повседневная жизнь
lieb,[liːp],"милый, добрый",Животные (Домашние/Ферма),850,Хобби и повседневная жизнь
Dachs,[daks],барсук,Животные (Лесные),850,Хобби и повседневная жизнь
Seepferdchen,[ˈzeːˌpfɛʁtçən],морской конёк,Животные (Морские),850,Хобби и повседневная жизнь
klingen,[ˈklɪŋən],звучать,Звук,850,Дом и быт
Tablette,[taˈblɛ.tə],таблетка,Здоровье,850,Здоровье и самочувствие
Bauchschmerzen,[ˈbaʊ̯xˌʃmɛʁ.tsn̩],боль в животе,Здоровье (Болезни),850,Здоровье и самочувствие
Krankenschwester,[ˈkʁaŋkn̩ˌʃvɛstɐ],медсестра,Здоровье (Люди),850,Здоровье и самочувствие
Zahnarzt,[ˈtsaːnˌaːɐ̯t͡st],стоматолог,Здоровье (Места),850,Здоровье и самочувствие
Zahnärztin,[ˈt͡saːnˌɛːɐ̯t͡stɪn],стоматолог (женщина),Здоровье (Профессии),850,Здоровье и самочувствие
Kopf,[kɔpf],голова,Здоровье (Симптомы),850,Здоровье и самочувствие
Übelkeit,[ˈyːbl̩kaɪt],тошнота,Здоровье (Симптомы),850,Здоровье и самочувствие
verbrennen,[fɛɐ̯ˈbʁɛnən],обжечься,Здоровье (Травмы),850,Здоровье и самочувствие
Farbe,[ˈfaʁbə],цвет,Зрение,850,Дом и быт
Modell,[moˈdɛl],"модель, макет",Искусство и ремесла,850,Хобби и повседневная жизнь
Und du?,[ʊnt duː],А ты?,Как дела?,850,Приветствия и знакомства
abschmecken,[ˈapˌʃmɛk.n̩],"дегустировать, приправлять по вкусу",Кухня (Глаголы),850,Основные глаголы
räumen,[ˈʁɔɪ̯.mən],"убирать (вещи), освобождать",Кухня (Глаголы) / Дом (Глаголы),850,Основные глаголы
man,[man],"кто-то, человек, безличное 'они'",Местоимения,850,Приветствия и знакомства
Speck,[ʃpɛk],бекон,Мясо,850,Рестораны и кафе
Mineralwasser,[mineˈraːlˌvasɐ],минеральная вода,Напитки,850,Рестораны и кафе
Richtung,[ˈʁɪçtʊŋ],направление,Направления (стороны света),850,Путешествия и транспорт
Nase,[ˈnaːzə],нос,Обоняние,850,Дом и быт
Blumenkohl,[ˈbluːmənˌkoːl],цветная капуста,Овощи,850,Рестораны и кафе
Bluse,[ˈbluːzə],блузка,Одежда,850,Покупки и магазины
dicht,[dɪçt],плотно / тесно,Описание (Расстояние),850,Дом и быт
natürlich,[naˈtʏʁlɪç],конечно,Ответы,850,Приветствия и знакомства
sonnig,[ˈzɔnɪç],солнечно,Погода,850,Путешествия и транспорт
Herzlichen Dank,[ˈhɛʁt͡slɪçən ˈdaŋk],Большое спасибо,Поздравления / Праздники,850,Приветствия и знакомства
geschlossen,[ɡəˈʃlɔsn̩],закрыто,Покупки,850,Покупки и магазины
Mitarbeiter,[ˈmɪtʔaʁbaɪ̯tɐ],сотрудник,Покупки (Люди),850,Покупки и магазины
Drogerie,[dʁoɡeˈʁiː],магазин бытовой химии и косметики,Покупки (Места),850,Покупки и магазины
Silvester,[zɪlˈvɛs.tɐ],Новый год (канун),Праздники и вечеринки,850,Хобби и повседневная жизнь
aus,[aʊ̯s],из (вне чего-либо),Предлоги места,850,Путешествия и транспорт
moin,[ˈmɔɪn],привет (северная Германия),Приветствия,850,Приветствия и знакомства
Hunger,[ˈhʊŋɐ],голод,Приемы пищи,850,Рестораны и кафе
Journalist,[ʒuʁnaˈlɪst],журналист,Профессии,850,Учёба и работа
Reservierung,[ʁezeʁˈviːʁʊŋ],бронирование,Путешествия,850,Путешествия и транспорт
Zimmermädchen,[ˈt͡sɪ.mɐˌmɛːtçən],горничная,Путешествия (Персонал),850,Путешествия и транспорт
hinten,[ˈhɪntn̩],сзади,Связующие слова (Время и место),850,Путешествия и транспорт
vorne,[ˈfɔʁnə],впереди,Связующие слова (Время и место),850,Путешествия и транспорт
dennoch,[ˈdɛnɔx],"всё же, однако",Связующие слова (Сравнение/Контраст),850,Путешествия и транспорт
Elternteil,[ˈɛltɐnˌtaɪl],родитель (один из родителей),Семья (Ближайшие родственники),850,Семья и люди
Cousin,[kuˈzɛ̃ː],двоюродный брат,Семья (Дальние родственники),850,Семья и люди
Cousine,[kuˈziːnə],двоюродная сестра,Семья (Дальние родственники),850,Семья и люди
Schlaf,[ʃlaːf],сон,Спальня,850,Дом и быт
Basketball,[ˈbaskɛtˌbal],баскетбол,Спорт,850,Хобби и повседневная жизнь
Wettkampf,[ˈvɛtˌkampf],соревнование,Спорт,850,Хобби и повседневная жизнь
Untertasse,[ˈʊntɐˌtasə],блюдце,Столовые приборы,850,Рестораны и кафе
Fahrkarte,[ˈfaːɐ̯ˌkaʁtə],проездной билет,Транспорт,850,Путешествия и транспорт
Fahrplan,[ˈfaːɐ̯ˌplaːn],расписание,Транспорт,850,Путешествия и транспорт
Motorrad,[moˈtoːɐ̯ˌʁaːt],мотоцикл,Транспорт,850,Путешествия и транспорт
Lokführer,[ˈlɔkˌfyːʁɐ],машинист поезда,Транспорт (Персонал),850,Путешествия и транспорт
Himbeere,[ˈhɪmˌbeːʁə],малина,Фрукты,850,Рестораны и кафе
ehrlich,[ˈeːɐ̯.lɪç],честный,Характер и эмоции,850,Семья и люди
beige,[beːʒ],бежевый,Цвета,850,Дом и быт
Blut,[bluːt],кровь,Части тела,850,Здоровье и самочувствие
Po,[poː],ягодица,Части тела,850,Здоровье и самочувствие
Zehe,[ˈtseːə],палец (на ноге),Части тела,850,Здоровье и самочувствие
Flur,[fluːɐ̯],коридор,Школа (Места),850,Учёба и работа
Sportplatz,[ˈʃpɔʁtˌplats],спортивная площадка,Школа (Места),850,Учёба и работа
Vertrag,[fɛɐ̯ˈtʁaːk],"договор, контракт",Бизнес / Работа,840,Учёба и работа
Wohnzimmer,[ˈvoːnˌtsɪmɐ],гостиная,Ванная комната / Спальня / Гостиная,840,Дом и быт
sauer,[ˈzaʊ̯.ɐ],кислый,Вкус (Еда),840,Рестораны и кафе
langhaarig,[ˈlaŋˌhaːʁɪç],длинноволосый,Внешность (Волосы),840,Семья и люди
Apfel,[ˈapfəl],яблоко,Еда и напитки,840,Рестораны и кафе
Muschel,[ˈmʊʃl̩],ракушка,Животные (Морские),840,Хобби и повседневная жизнь
Halsschmerzen,[ˈhalʃˌʃmɛʁ.tsn̩],боль в горле,Здоровье (Болезни),840,Здоровье и самочувствие
bunt,[bʊnt],"разноцветный, яркий",Искусство и ремесла,840,Хобби и повседневная жизнь
schälen,[ˈʃɛː.lən],чистить (от кожуры),Кухня (Глаголы),840,Основные глаголы
Hackfleisch,[ˈhak.flaɪ̯ʃ],фарш,Мясо,840,Рестораны и кафе
Rote Beete,[ˈʁoːtə ˈbeːtə],свёкла,Овощи,840,Рестораны и кафе
Bauer,[ˈbaʊ̯ɐ],фермер,Профессии,840,Учёба и работа
Gepäck,[ɡəˈpɛk],багаж,Путешествия,840,Путешествия и транспорт
laufen gehen,[ˈlaʊ̯fən ˈɡeːən],идти бегать,Спорт,840,Хобби и повседневная жизнь
Ananas,[ˈa.na.nas],ананас,Фрукты,840,Рестораны и кафе
Gehalt,[ɡəˈhalt],зарплата,Бизнес / Работа,830,Учёба и работа
Bad,[baːt],ванная,Ванная комната / Спальня / Гостиная,830,Дом и быт
Glatze,[ˈɡlat͡sə],лысина,Внешность (Волосы),830,Семья и люди
legen,[ˈleːɡn̩],"класть, помещать (горизонтально)",Глаголы (Местоположение),830,Основные глаголы
tanzen,[ˈtant͡sən],танцевать,Глаголы (Спорт),830,Основные глаголы
Saft,[zaft],сок,Еда и напитки,830,Рестораны и кафе
Tintenfisch,[ˈtɪntn̩ˌfɪʃ],осьминог / кальмар,Животные (Морские),830,Хобби и повседневная жизнь
Form,[fɔʁm],форма,Искусство и ремесла,830,Хобби и повседневная жизнь
Auch gut,[aʊ̯x ɡuːt],Тоже хорошо,Как дела?,830,Приветствия и знакомства
Mais,[maɪ̯s],кукуруза,Овощи,830,Рестораны и кафе
Schal,[ʃaːl],шарф,Одежда,830,Покупки и магазины
eins,[aɪns],один,Основы,830,Приветствия и знакомства
Größe,[ˈɡʁøːsə],размер,Покупки,830,Покупки и магазины
Ostern,[ˈoːstɐn],Пасха,Праздники и вечеринки,830,Хобби и повседневная жизнь
um,[ʊm],вокруг,Предлоги места,830,Путешествия и транспорт
Architekt,[aʁçiˈtɛkt],архитектор,Профессии,830,Учёба и работа
Tor,[toːɐ̯],ворота / гол,Спорт,830,Хобби и повседневная жизнь
ins Fitnessstudio gehen,[ɪns ˈfɪtnɛsˌʃtuːdi̯o ˈɡeːən],ходить в спортзал,Спорт,830,Хобби и повседневная жизнь
Schiff,[ʃɪf],корабль,Транспорт,830,Путешествия и транспорт
Mango,[ˈmaŋ.go],манго,Фрукты,830,Рестораны и кафе
zufrieden,[t͡suˈfʁiːdən],довольный,Характер и эмоции,830,Семья и люди
Kreide,[ˈkʁaɪ̯də],мел,Школа (В классе),830,Учёба и работа
verdienen,[fɛɐ̯ˈdiːnən],зарабатывать,Бизнес / Работа,820,Учёба и работа
kämmen,[ˈkɛmən],"причесывать, расчесывать",Ванная комната (Глаголы),820,Основные глаголы
bitte sehr,[ˈbɪ.tə zeːɐ̯],пожалуйста (ответ на спасибо),Вежливость / Этикет,820,Приветствия и знакомства
Zopf,[t͡sɔpf],коса,Внешность (Волосы),820,Семья и люди
wie lange,[viː ˈlaŋə],как долго,Вопросительные слова,820,Приветствия и знакомства
reiten,[ˈʁaɪ̯tən],ездить верхом,Глаголы (Спорт),820,Основные глаголы
schreiben,[ˈʃʁaɪbn̩],писать,Глаголы действия,820,Основные глаголы
Uhr,[uːɐ̯],часы,Гостиная,820,Дом и быт
Tee,[teː],чай,Еда и напитки,820,Рестораны и кафе
Robbe,[ˈʁɔbə],тюлень,Животные (Морские),820,Хобби и повседневная жизнь
flüstern,[ˈflʏstɐn],шептать,Звук,820,Дом и быт
Fieber,[ˈfiː.bɐ],"жар, температура",Здоровье,820,Здоровье и самочувствие
Durchfall,[ˈdʊʁçˌfal],понос,Здоровье (Болезни),820,Здоровье и самочувствие
Hals,[hals],горло,Здоровье (Симптомы),820,Здоровье и самочувствие
Super,[ˈzuːpɐ],Отлично,Как дела?,820,Приветствия и знакомства
Kürbis,[ˈkʏʁbɪs],тыква,Овощи,820,Рестораны и кафе
Mütze,[ˈmʏtsə],шапка,Одежда,820,Покупки и магазины
zwei,[tsvaɪ],два,Основы,820,Приветствия и знакомства
es regnet,[ɛs ˈʁeːɡnɛt],идёт дождь,Погода,820,Путешествия и транспорт
Viel Spaß,[fiːl ˈʃpaːs],Веселись / Хорошо провести время,Поздравления / Праздники,820,Приветствия и знакомства
billig,[ˈbɪlɪç],дешёвый,Покупки,820,Покупки и магазины
teuer,[ˈtɔʏ̯ɐ],дорогой,Покупки,820,Покупки и магазины
Buchhandlung,[ˈbuːxˌhandlʊŋ],книжный магазин,Покупки (Места),820,Покупки и магазины
durch,[dʊʁç],через,Предлоги места,820,Путешествия и транспорт
Anwalt,[ˈanvalt],адвокат,Профессии,820,Учёба и работа
ciao,[ˈtʃaʊ̯],пока (разг.),Прощание,820,Приветствия и знакомства
fliegen,[ˈfliːɡn̩],лететь,Путешествия,820,Путешествия и транспорт
Punkt,[pʊŋkt],очко / балл,Спорт,820,Хобби и повседневная жизнь
wandern,[ˈvandɐn],ходить в поход / гулять пешком,Спорт,820,Хобби и повседневная жизнь
Tablett,[taˈblɛt],поднос,Столовые приборы,820,Рестораны и кафе
Kiwi,[ˈkiː.vi],киви,Фрукты,820,Рестораны и кафе
nervös,[nɛʁˈvøːs],нервный,Характер и эмоции,820,Семья и люди
sympathisch,[zʏmˈpaː.tɪʃ],симпатичный (приятный в общении),Характер и эмоции,820,Семья и люди
Hüfte,[ˈhʏftə],бедро (таз),Части тела,820,Здоровье и самочувствие
Knochen,[ˈknɔxn̩],кость,Части тела,820,Здоровье и самочувствие
Muskel,[ˈmʊsl̩],мышца,Части тела,820,Здоровье и самочувствие
Nacken,[ˈnakn̩],"затылок, шея (задняя часть)",Части тела,820,Здоровье и самочувствие
Nagel,[ˈnaːɡl̩],ноготь,Части тела,820,Здоровье и самочувствие
Wange,[ˈvaŋə],щека,Части тела,820,Здоровье и самочувствие
Zunge,[ˈtsʊŋə],язык (орган),Части тела,820,Здоровье и самочувствие
Computerraum,[kɔmˈpjuːtɐˌʁaʊm],компьютерный класс,Школа (Места),820,Учёба и работа
Pausenhof,[ˈpaʊzn̩ˌhoːf],двор для перемен,Школа (Места),820,Учёба и работа
Sekretariat,[zekʁetaˈʁiːat],секретариат,Школа (Места),820,Учёба и работа
kündigen,[ˈkʏndɪɡən],"увольняться, увольнять",Бизнес / Работа,810,Учёба и работа
Pony,[ˈpɔni],чёлка,Внешность (Волосы),810,Семья и люди
wie oft,[viː ˈɔft],как часто,Вопросительные слова,810,Приветствия и знакомства
tauchen,[ˈtaʊ̯xən],нырять,Глаголы (Спорт),810,Основные глаголы
lesen,[ˈleːzn̩],читать,Глаголы действия,810,Основные глаголы
Kaffee,[ˈkafeː],кофе,Еда и напитки,810,Рестораны и кафе
Seehund,[ˈzeːˌhʊnt],морской котик,Животные (Морские),810,Хобби и повседневная жизнь
Erbrechen,[ɛɐ̯ˈbʁɛçn̩],рвота,Здоровье (Болезни),810,Здоровье и самочувствие
hinzufügen,[hɪnˈtsyː.ɡən],добавлять,Кухня (Глаголы),810,Основные глаголы
Aubergine,[obɛʁˈʒiːnə],баклажан,Овощи,810,Рестораны и кафе
drei,[dʁaɪ],три,Основы,810,Приветствия и знакомства
es schneit,[ɛs ʃnaɪt],идёт снег,Погода,810,Путешествия и транспорт
Feuerwehrmann,[ˈfɔʏ̯ɐˌveːɐ̯ˌman],пожарный,Профессии,810,Учёба и работа
bis gleich,[bɪs ˈɡlaɪ̯ç],до скорой встречи (очень скоро),Прощание,810,Приветствия и знакомства
ankommen,[ˈʔanˌkɔmən],прибывать,Путешествия,810,Путешествия и транспорт
spielen gehen,[ˈʃpiːlən ˈɡeːən],идти играть,Спорт,810,Хобби и повседневная жизнь
böse,[ˈbøː.zə],злой,Характер и эмоции,810,Семья и люди
wütend,[ˈvyːtənt],"злой, в ярости",Характер и эмоции,810,Семья и люди
Ellbogen,[ˈɛlˌboːɡn̩],локоть,Части тела,810,Здоровье и самочувствие
Kinn,[kɪn],подбородок,Части тела,810,Здоровье и самочувствие
Schultasche,[ˈʃuːlˌtaʃə],школьная сумка,Школа (В классе),810,Учёба и работа
Direktion,[diʁɛkˈtsioːn],дирекция,Школа (Места),810,Учёба и работа
Pause,[ˈpaʊ̯zə],"перемена, пауза",Школа (Учебная деятельность),810,Учёба и работа
Meeting,[ˈmiːtɪŋ],"встреча, собрание",Бизнес / Работа,800,Учёба и работа
Regal,[ʁeˈɡaːl],полка,Ванная комната,800,Дом и быт
Schrank,[ʃʁaŋk],шкаф,Ванная комната,800,Дом и быт
herzlich willkommen,[ˈhɛʁt͡slɪç vɪlˈkɔmən],добро пожаловать,Вежливость / Этикет,800,Приветствия и знакомства
genießen,[ɡəˈniː.sən],наслаждаться (едой),Вкус (Еда),800,Рестораны и кафе
eklig,[ˈeːklɪç],отвратительный (на вкус),Вкус (Ощущения),800,Дом и быт
Strähne,[ˈʃtʁɛːnə],прядь,Внешность (Волосы),800,Семья и люди
riesig,[ˈʁiːzɪç],огромный,Внешность (Размер / Рост),800,Семья и люди
Baby,[ˈbeːbi],младенец,Возраст,800,Приветствия и знакомства
mit wem,[mɪt veːm],с кем,Вопросительные слова,800,Приветствия и знакомства
regnen,[ˈʁeːɡnən],идти (о дожде),Времена года,800,Путешествия и транспорт
hängen,[ˈhɛŋən],висеть; вешать,Глаголы (Местоположение),800,Основные глаголы
wehen,[ˈveːən],дуть (о ветре),Глаголы (Погода),800,Основные глаголы
küssen,[ˈkʏsn̩],целовать,Глаголы (Семья),800,Основные глаголы
balancieren,[balaŋˈsiːʁən],балансировать,Глаголы (Спорт),800,Основные глаголы
fahren,[ˈfaːʁən],"ехать, водить",Глаголы действия,800,Основные глаголы
Buch,[buːx],книга,Гостиная,800,Дом и быт
schenken,[ˈʃɛŋkən],дарить,Десерты,800,Рестораны и кафе
am Montag,[am ˈmɔn.taːk],в понедельник,Дни недели,800,Приветствия и знакомства
Schaf,[ʃaːf],овца,Животные (Домашние/Ферма),800,Хобби и повседневная жизнь
füttern,[ˈfʏtɐn],кормить,Животные (Домашние/Ферма),800,Хобби и повседневная жизнь
Marder,[ˈmaʁdɐ],куница,Животные (Лесные),800,Хобби и повседневная жизнь
Alge,[ˈalɡə],водоросль,Животные (Морские),800,Хобби и повседневная жизнь
klopfen,[ˈklɔpfən],стучать,Звук,800,Дом и быт
krach,[kʁaχ],"грохот, шум",Звук,800,Дом и быт
sich fühlen,[zɪç ˈfyː.lən],чувствовать себя,Здоровье,800,Здоровье и самочувствие
Allergie,[aleʁˈɡiː],аллергия,Здоровье (Болезни),800,Здоровье и самочувствие
Rezept,[ʁeˈt͡sɛpt],рецепт (медицинский),Здоровье (Болезни),800,Здоровье и самочувствие
Krankenwagen,[ˈkʁaŋkənˌvaːɡn̩],скорая помощь (машина),Здоровье (Места),800,Здоровье и самочувствие
Notaufnahme,[ˈnoːtˌaʊfˌnaːmə],приёмное отделение (неотложка),Здоровье (Места),800,Здоровье и самочувствие
Krankenpfleger,[ˈkʁaŋkn̩ˌfleːɡɐ],медбрат,Здоровье (Профессии),800,Здоровье и самочувствие
Müdigkeit,[ˈmyːdɪçkaɪt],усталость,Здоровье (Симптомы),800,Здоровье и самочувствие
Brille,[ˈbʁɪlə],очки,Зрение,800,Дом и быт
ansehen,[ˈanˌzeːən],рассматривать,Зрение,800,Дом и быт
gestalten,[ɡəˈʃtaltn̩],"оформлять, создавать",Искусство и ремесла,800,Хобби и повседневная жизнь
Prima,[ˈpriːma],Превосходно,Как дела?,800,Приветствия и знакомства
entfernen,[ɛntˈfɛʁ.nən],удалять,Кухня (Глаголы),800,Основные глаголы
Grill,[ɡʁɪl],гриль,Мясо,800,Рестораны и кафе
links,[lɪŋks],налево,Направления (стороны света),800,Путешествия и транспорт
rechts,[ʁɛçts],направо,Направления (стороны света),800,Путешествия и транспорт
Zucchini,[tsuˈkiːni],цукини,Овощи,800,Рестораны и кафе
rauh,[ʁaʊ̯],шершавый,Осязание,800,Дом и быт
genau,[ɡəˈnaʊ̯],точно / верно,Ответы,800,Приветствия и знакомства
es ist sonnig,[ɛs ɪst ˈzɔnɪç],солнечно,Погода,800,Путешествия и транспорт
Feier,[ˈfaɪ̯ɐ],праздник,Поздравления / Праздники,800,Приветствия и знакомства
Umkleide,[ˈʊmˌklaɪ̯də],примерочная,Покупки,800,Покупки и магазины
Öffnungszeiten,[ˈœfnʊŋsˌtsaɪ̯tn̩],часы работы,Покупки,800,Покупки и магазины
Kassierer,[kaˈsiːʁɐ],кассир,Покупки (Люди),800,Покупки и магазины
Metzgerei,[mɛt͡sɡəˈʁaɪ],мясная лавка,Покупки (Места),800,Покупки и магазины
einladen,[ˈaɪ̯nˌlaːdn̩],приглашать,Праздники и вечеринки,800,Хобби и повседневная жизнь
entlang,[ɛntˈlaŋ],вдоль,Предлоги места,800,Путешествия и транспорт
Hausfrau,[ˈhaʊ̯sˌfʁaʊ̯],домохозяйка,Профессии,800,Учёба и работа
schönen Tag,[ˈʃøːnən taːk],хорошего дня,Прощание,800,Приветствия и знакомства
abfahren,[ˈapˌfaːʁən],отправляться,Путешествия,800,Путешествия и транспорт
Portier,[pɔʁˈtjeː],"швейцар, портье",Путешествия (Персонал),800,Путешествия и транспорт
zusätzlich,[ˈtsuːzɛt͡slɪç],дополнительно,Связующие слова (Добавление),800,Путешествия и транспорт
im Gegensatz,[ɪm ˈɡeːɡn̩ˌzat͡s],в отличие,Связующие слова (Сравнение/Контраст),800,Путешествия и транспорт
Ehefrau,[ˈeːəˌfʁaʊ],жена,Семья (Ближайшие родственники),800,Семья и люди
Ehemann,[ˈeːəˌman],муж,Семья (Ближайшие родственники),800,Семья и люди
Ehepartner,[ˈeːəˌpaʁtnɐ],супруг,Семья (Ближайшие родственники),800,Семья и люди
Neffe,[ˈnɛfə],племянник,Семья (Дальние родственники),800,Семья и люди
Nichte,[ˈnɪçtə],племянница,Семья (Дальние родственники),800,Семья и люди
Vorhang,[ˈfoːɐ̯ˌhaŋ],занавеска,Спальня / Гостиная,800,Дом и быт
Leichtathletik,[ˈlaɪ̯çtʔatleˌtiːk],лёгкая атлетика,Спорт,800,Хобби и повседневная жизнь
Mitspieler,[ˈmɪtˌʃpiːlɐ],товарищ по команде,Спорт,800,Хобби и повседневная жизнь
Krug,[kruːk],кувшин,Столовые приборы,800,Рестораны и кафе
steigen,[ˈʃtaɪ̯ɡn̩],садиться (в транспорт),Транспорт,800,Путешествия и транспорт
Stewardess,[ʃtjuˈaːɐ̯dɛs],стюардесса,Транспорт (Персонал),800,Путешествия и транспорт
Granatapfel,[ɡʁaˈnaːtˌapfəl],гранат,Фрукты,800,Рестораны и кафе
reif,[ʁaɪ̯f],спелый,Фрукты,800,Рестораны и кафе
schüchtern,[ˈʃʏç.tɐn],застенчивый,Характер и эмоции,800,Семья и люди
Gelenk,[ɡəˈlɛŋk],сустав,Части тела,800,Здоровье и самочувствие
Magen,[ˈmaːɡn̩],желудок,Части тела,800,Здоровье и самочувствие
Stirn,[ʃtɪʁn],лоб,Части тела,800,Здоровье и самочувствие
elf,[ɛlf],одиннадцать,Числа,800,Покупки и магазины
Aula,[ˈaʊla],актовый зал,Школа (Места),800,Учёба и работа
Lehrerzimmer,[ˈleːʁɐˌtsɪmɐ],учительская,Школа (Места),800,Учёба и работа
Treppenhaus,[ˈtʁɛpənˌhaʊs],лестничная клетка,Школа (Места),800,Учёба и работа
Tasche,[ˈtaʃə],сумка,Школа (Учебная деятельность),800,Учёба и работа
Aufgabe,[ˈaʊ̯fˌɡaːbə],"задание, задача",Бизнес / Работа,790,Учёба и работа
Frisur,[fʁiˈzuːɐ̯],причёска,Внешность (Волосы),790,Семья и люди
skaten,[ˈskeːtn̩],кататься на скейте/роликах,Глаголы (Спорт),790,Основные глаголы
bleiben,[ˈblaɪbn̩],оставаться,Глаголы действия,790,Основные глаголы
Asthma,[ˈas.tma],астма,Здоровье (Болезни),790,Здоровье и самочувствие
Idee,[iˈdeː],идея,Искусство и ремесла,790,Хобби и повседневная жизнь
abkühlen,[ˈapˌkyː.lən],"остужать, охлаждать",Кухня (Глаголы),790,Основные глаголы
Radieschen,[ʁaˈdiːsçən],редис,Овощи,790,Рестораны и кафе
es ist bewölkt,[ɛs ɪst bəˈvœlkt],облачно,Погода,790,Путешествия и транспорт
Feige,[ˈfaɪ̯.ɡə],инжир,Фрукты,790,Рестораны и кафе
mutig,[ˈmuː.tɪç],смелый,Характер и эмоции,790,Семья и люди
Welche Farbe?,[ˈvɛlçə ˈfaʁbə],Какой цвет?,Цвета,790,Дом и быт
Handgelenk,[ˈhantɡəˌlɛŋk],запястье,Части тела,790,Здоровье и самочувствие
Lunge,[ˈlʊŋə],легкое,Части тела,790,Здоровье и самочувствие
zwölf,[t͡svœlf],двенадцать,Числа,790,Покупки и магазины
Frage,[ˈfʁaːɡə],вопрос,Школа (В классе),790,Учёба и работа
Schulküche,[ˈʃuːlˌkʏçə],школьная столовая/кухня,Школа (Места),790,Учёба и работа
Fragen stellen,[ˈfʁaːɡn̩ ˈʃtɛlən],задавать вопросы,Школа (Учебная деятельность),790,Учёба и работа
Projekt,[pʁoˈjɛkt],проект,Бизнес / Работа,780,Учёба и работа
trocknen,[ˈtʁɔknən],сушить,Ванная комната (Глаголы),780,Основные глаголы
Lampe,[ˈlampə],лампа,Ванная комната / Спальня / Гостиная,780,Дом и быт
winzig,[ˈvɪnt͡sɪç],крошечный,Внешность (Размер / Рост),780,Семья и люди
Geburtstag,[ɡəˈbʊʁtstaːk],день рождения,Возраст,780,Приветствия и знакомства
sein (da),[zaɪn (da)],"быть (здесь), присутствовать",Глаголы (Местоположение),780,Основные глаголы
besuchen,[bəˈzuːxn̩],"навещать, посещать",Глаголы (Семья),780,Основные глаголы
lachen,[ˈlaχn̩],смеяться,Глаголы (Семья),780,Основные глаголы
beginnen,[bəˈɡɪnən],начинать,Глаголы действия,780,Основные глаголы
Koralle,[koˈʁalə],коралл,Животные (Морские),780,Хобби и повседневная жизнь
laut sprechen,[laʊ̯t ˈʃpʁɛçən],говорить громко,Звук,780,Дом и быт
leise sprechen,[ˈlaɪ̯zə ˈʃpʁɛçən],говорить тихо,Звук,780,Дом и быт
Notfall,[ˈnoːt.faːl],"чрезвычайная ситуация, неотложный случай",Здоровье,780,Здоровье и самочувствие
Infektion,[ɪnfɛkˈtsi̯oːn],инфекция,Здоровье (Болезни),780,Здоровье и самочувствие
Schwindel,[ˈʃvɪndl̩],головокружение,Здоровье (Симптомы),780,Здоровье и самочувствие
fertig,[ˈfɛʁtɪç],готовый,Искусство и ремесла,780,Хобби и повседневная жизнь
So lala,[zoː laˈla],Так себе,Как дела?,780,Приветствия и знакомства
aufwärmen,[ˈaʊ̯fˌvɛʁ.mən],разогревать,Кухня (Глаголы),780,Основные глаголы
mit Zucker,[mɪt ˈtsʊkɐ],с сахаром,Напитки,780,Рестораны и кафе
angenehm,[ˈaŋəˌneːm],приятный,Обоняние,780,Дом и быт
Lauch,[laʊ̯x],лук-порей,Овощи,780,Рестораны и кафе
stimmt,[ʃtɪmt],правильно / верно,Ответы,780,Приветствия и знакомства
es ist windig,[ɛs ɪst ˈvɪndɪç],ветрено,Погода,780,Путешествия и транспорт
Feiern,[ˈfaɪ̯ɐn],праздновать,Поздравления / Праздники,780,Приветствия и знакомства
Schuhgeschäft,[ˈʃuːɡəˌʃɛft],обувной магазин,Покупки (Места),780,Покупки и магазины
ab,[ap],"от (откуда-то, с поверхности)",Предлоги места,780,Путешествия и транспорт
Chef(in),[ˈʃɛf (ɪn)],шеф (женщина),Профессии,780,Учёба и работа
gute Nacht,[ˈɡuːtə naxt],спокойной ночи,Прощание,780,Приветствия и знакомства
Reiseleiter,[ˈʁaɪ̯.zəˌlaɪ̯.tɐ],"гид, экскурсовод",Путешествия (Персонал),780,Путешествия и транспорт
ebenso,[ˈeːbn̩zoː],"также, аналогично",Связующие слова (Добавление),780,Путешествия и транспорт
stattdessen,[ʃtatˈdɛsən],вместо этого,Связующие слова (Сравнение/Контраст),780,Путешествия и транспорт
Gewichtheben,[ɡəˈvɪçtˌheːbən],тяжёлая атлетика / поднятие тяжестей,Спорт,780,Хобби и повседневная жизнь
aussteigen,[ˈaʊ̯sˌʃtaɪ̯ɡn̩],выходить (из транспорта),Транспорт,780,Путешествия и транспорт
Kontrolleur,[kɔn.tʁoˈlɶːɐ̯],контролёр (билетов),Транспорт (Персонал),780,Путешествия и транспорт
Limette,[liˈmɛ.tə],лайм,Фрукты,780,Рестораны и кафе
geduldig,[ɡəˈdʊl.dɪç],терпеливый,Характер и эмоции,780,Семья и люди
dunkelblau,[ˈdʊŋkl̩blaʊ],тёмно-синий,Цвета,780,Дом и быт
Knöchel,[ˈknœçl̩],щиколотка,Части тела,780,Здоровье и самочувствие
